,text_id1,text_name1,word_count1,status1,similarity,text_id2,text_name2,word_count2,status2
112,7cb0b80357,V14N003,377,keep,0.6367,fad059fd57,H14N003,264,remove
113,6b7b6ad4b4,H16N013,341,keep,0.6367,69ca262e9e,V16N027,299,remove
114,7d874b8b84,R13N006,156,remove,0.6328,ca7cc07a93,V13N007,182,keep
115,ac1dfdae31,D16N010,237,keep,0.625,f7c4531c31,T16N003,339,keep
116,8f2052c08c,R13N011,404,remove,0.625,4f9fb86ed5,T13N003,424,remove
117,3d3a9dfa4f,O14N003,175,remove,0.6211,2ecd55590f,D14N009,226,remove
118,8872aa0bf2,O16N007,262,remove,0.6172,c03994ed8b,H16N011,315,keep
119,3c2670a27c,H16N010,214,keep,0.6133,e78a7214b4,R16N010,199,remove
120,9ede158507,H13N021,254,remove,0.6133,3960ce35a6,V13N025,412,keep
121,abdfc83cce,H13N006,347,remove,0.6133,fbe97608af,O13N002,403,keep
122,977450e789,S16N008,476,keep,0.6055,bd27ec3c7e,C16N009,333,remove
123,f8f47c92fe,V15N007,264,remove,0.6055,0c4c9acdc1,R15N005,194,remove
124,cd23bf6316,H17N001,177,remove,0.6055,901828c0b2,R17N001,290,remove
125,e2cc4cb949,V16N003,578,keep,0.5977,28c042842d,R16N002,407,remove
126,c03994ed8b,H16N011,315,keep,0.5977,c1c0e6aad4,R16N012,372,remove
127,0de45fdf82,H16N007,193,remove,0.5977,355821c021,D16N009,204,keep
128,355821c021,D16N009,204,keep,0.5977,a3e0c44a15,R16NN009,194,remove
129,a7c5e4cb90,V14N001,221,keep,0.5977,6e9956cc91,H14N001,188,remove
130,0f287371e4,T16N002,288,keep,0.5977,a3e0c44a15,R16NN009,194,remove
131,c5d4baa467,D17N003,207,remove,0.5938,e7c3f31419,H17N004,307,keep
132,0a9707c869,D16N011,287,remove,0.5898,5e7ae57daf,V16N022,431,keep
133,c6190b17dc,D16N012,207,remove,0.5898,af4107906f,R16N014,226,keep
134,7edf929b6f,H14N011,260,keep,0.582,2ecd55590f,D14N009,226,remove
135,0de45fdf82,H16N007,193,remove,0.5742,a3e0c44a15,R16NN009,194,remove
136,9f46c903c3,H15N015,187,keep,0.5742,3f88375a80,D15N018,171,remove
137,a26f7f52a1,H17N007,297,keep,0.5742,8ffd5fcc4a,R17N005,191,remove
138,8872aa0bf2,O16N007,262,remove,0.5664,c1c0e6aad4,R16N012,372,remove
139,7edf929b6f,H14N011,260,keep,0.5625,3d3a9dfa4f,O14N003,175,remove
140,ede73c87a9,D13N008,153,remove,0.5625,10a6e411a8,H13N017,324,keep
141,7f9c09cf94,V14N014,258,remove,0.5547,0793eab599,R14N015,173,remove
142,3c2670a27c,H16N010,214,keep,0.5508,f7c4531c31,T16N003,339,keep
143,0c1a6405e1,H15N014,195,remove,0.543,27a1260f40,R15N012,389,keep
144,355821c021,D16N009,204,keep,0.543,dadb615d6c,V16NN019,174,remove
145,ac1dfdae31,D16N010,237,keep,0.543,e78a7214b4,R16N010,199,remove
146,9f16cad200,V13N020,240,remove,0.543,ec8419dc2d,O13N012,398,keep
147,04792b379b,V15N006,431,keep,0.5391,f7b24e7a58,D15N007,416,remove
148,8257e473fe,V14N002,181,remove,0.5352,b095bfbe34,O14N001,361,remove
149,899fa9d7cc,H17N010,268,remove,0.5352,7676b404b6,V17N009,401,remove
150,7ac4ef970c,V14N007,154,remove,0.5312,425f84a508,R14N008,237,keep
151,051a1333c0,H15N001,179,remove,0.5312,6130cefa3b,V15N001,382,keep
152,371f819667,V17N014,487,keep,0.5273,688bd353fc,O17N008,267,remove
153,76a12b649b,V17N022,348,keep,0.5234,a203b4c6d3,H17N019,246,remove
154,ca9df0dd97,D17N004,402,keep,0.5195,899fa9d7cc,H17N010,268,remove
155,8257e473fe,V14N002,181,remove,0.5156,f15972d17c,H14N002,343,remove
156,0c4c9acdc1,R15N005,194,remove,0.5117,aaac41d476,H15N008,385,keep
157,36b24a602b,O17N006,198,remove,0.5117,ab9d44b2d8,H17N003,382,remove
158,0a9707c869,D16N011,287,remove,0.5039,c03994ed8b,H16N011,315,keep
159,e7c3f31419,H17N004,307,keep,0.5039,80436a50d0,W17N009,406,remove
